objects,cumulative_bytes
1,185
2,402
3,619
4,836
5,1053
6,1270
7,1455
8,1672
9,1889
10,2106
11,2323
12,2540
13,2725
14,2942
15,3159
16,3376
17,3593
18,3810
19,3995
20,4180
21,4365
22,4582
23,4799
24,5016
25,5233
26,5450
27,5635
28,5852
29,6069
30,6286
31,6503
32,6720
33,6905
34,7122
35,7339
36,7556
37,7773
38,7990
39,8175
40,8392
41,8609
42,8826
43,9043
44,9260
45,9445
46,9662
47,9879
48,10096
49,10313
50,10530
51,10715
52,10932
53,11149
54,11366
55,11583
56,11800
57,11985
58,12202
59,12387
60,12604
61,12821
62,13038
63,13255
64,13472
65,13658
66,13876
67,14094
68,14312
69,14530
70,14748
71,14934
72,15152
73,15370
74,15588
75,15806
76,16024
77,16210
78,16396
79,16582
80,16800
81,17018
82,17236
83,17454
84,17672
85,17858
86,18076
87,18294
88,18512
89,18730
90,18948
91,19134
92,19352
93,19570
94,19788
95,20006
96,20224
97,20410
98,20628
99,20846
100,21064
101,21282
102,21500
103,21686
104,21904
105,22122
106,22340
107,22558
108,22776
109,22962
110,23148
111,23334
112,23552
113,23770
114,23988
115,24206
116,24424
117,24610
118,24796
119,24982
120,25200
121,25418
122,25636
123,25854
124,26072
125,26258
126,26476
127,26694
128,26912
129,27130
130,27348
131,27534
132,27752
133,27970
134,28188
135,28406
136,28624
137,28810
138,29028
139,29246
140,29464
141,29682
142,29900
143,30086
144,30304
145,30522
146,30740
147,30958
148,31176
149,31362
150,31580
151,31798
152,32016
153,32234
154,32452
155,32638
156,32856
157,33074
158,33292
159,33510
160,33728
161,33914
162,34132
163,34350
164,34568
165,34786
166,35004
167,35190
168,35408
169,35626
170,35844
171,36062
172,36280
173,36466
174,36684
175,36902
176,37120
177,37338
178,37556
179,37742
180,37960
181,38178
182,38396
183,38614
184,38832
185,39018
186,39204
187,39390
188,39608
189,39826
190,40044
191,40262
192,40480
193,40666
194,40884
195,41102
196,41320
197,41538
198,41756
199,41942
200,42160
201,42346
202,42564
203,42782
204,43000
205,43218
206,43436
207,43622
208,43840
209,44058
210,44276
211,44494
212,44712
213,44898
214,45116
215,45334
216,45552
217,45770
218,45988
219,46174
220,46392
221,46610
222,46828
223,47046
224,47264
225,47450
226,47636
227,47822
228,48040
229,48258
230,48476
231,48694
232,48912
233,49098
234,49316
235,49534
236,49752
237,49970
238,50188
239,50374
240,50592
241,50810
242,51028
243,51246
244,51464
245,51650
246,51868
247,52086
248,52304
249,52522
250,52740
251,52926
252,53144
253,53362
254,53580
255,53798
256,54016
257,54202
258,54388
259,54574
260,54792
261,55010
262,55228
263,55446
264,55664
265,55850
266,56068
267,56286
268,56504
269,56722
270,56940
271,57126
272,57344
273,57562
274,57780
275,57998
276,58216
277,58402
278,58620
279,58838
280,59056
281,59274
282,59492
283,59678
284,59896
285,60114
286,60332
287,60550
288,60768
289,60954
290,61172
291,61390
292,61608
293,61826
294,62044
295,62230
296,62416
297,62602
298,62820
299,63038
300,63256
301,63474
302,63692
303,63878
304,64064
305,64250
306,64468
307,64686
308,64904
309,65122
310,65340
311,65526
312,65744
313,65962
314,66180
315,66398
316,66616
317,66802
318,66988
319,67174
320,67392
321,67610
322,67828
323,68046
324,68264
325,68450
326,68668
327,68886
328,69104
329,69322
330,69540
331,69726
332,69944
333,70162
334,70380
335,70598
336,70816
337,71002
338,71220
339,71438
340,71656
341,71874
342,72092
343,72278
344,72496
345,72714
346,72932
347,73150
348,73368
349,73554
350,73772
351,73990
352,74208
353,74426
354,74644
355,74830
356,75016
357,75202
358,75420
359,75638
360,75856
361,76074
362,76292
363,76478
364,76664
365,76850
366,77068
367,77286
368,77504
369,77722
370,77940
371,78126
372,78344
373,78562
374,78780
375,78998
376,79216
377,79402
378,79620
379,79838
380,80056
381,80274
382,80492
383,80678
384,80896
385,81114
386,81332
387,81550
388,81768
389,81954
390,82172
391,82390
392,82608
393,82826
394,83044
395,83230
396,83416
397,83602
398,83820
399,84038
400,84256
401,84474
402,84692
403,84878
404,85096
405,85314
406,85532
407,85750
408,85968
409,86154
410,86372
411,86558
412,86776
413,86994
414,87212
415,87430
416,87648
417,87834
418,88052
419,88270
420,88488
421,88706
422,88924
423,89110
424,89328
425,89546
426,89764
427,89982
428,90200
429,90386
430,90604
431,90822
432,91040
433,91258
434,91476
435,91662
436,91880
437,92098
438,92316
439,92534
440,92752
441,92938
442,93156
443,93374
444,93592
445,93810
446,94028
447,94214
448,94400
449,94586
450,94804
451,95022
452,95240
453,95458
454,95676
455,95862
456,96080
457,96298
458,96516
459,96734
460,96952
461,97138
462,97356
463,97574
464,97792
465,98010
466,98228
467,98414
468,98632
